Index(['Label', 'Cluster'], dtype='object')
               Label  Cluster
612         children        0
666           voices        0
231        educating        0
432      influential        0
95           culture        0
564             idea        0
298            ideas        0
258     associations        0
340     relationship        0
575        listening        0
348          origins        0
548          couples        0
112          beliefs        0
489           loving        0
294             self        0
598          choices        0
11             grown        0
218         approach        0
635             lots        0
253             sort        0
517          writing        0
137          centaur        1
478             beta        1
126        tentacles        1
487         thistles        1
337            toxic        1
333          sensory        1
102             roda        1
131        detection        1
149           sickle        1
614            stalk        1
58         blackfoot        1
420             halo        1
391       underwater        1
113         hedgehog        1
139        entangled        1
463              rot        1
618       attraction        1
319           spines        1
551     echolocation        1
436             cord        1
437        fireflies        1
4         desolation        1
506           violet        1
277           sprite        1
442       chromosome        1
100             gaia        1
520            sonic        1
521         cataract        1
523         sawtooth        1
476       maturation        1
683      progression        1
21           gravity        1
682          radiant        1
220           goblin        1
229         inactive        1
183         gradient        1
546          spatial        1
361        quenching        1
345         songbird        1
362           nymphs        2
480         goldfish        2
475        squirrels        2
547            tulip        2
295           fossil        2
75              bird        2
93           turtles        2
73              eggs        2
301             worm        2
508             bugs        2
503        creatures        2
485         dwelling        2
676           potted        2
365          bunnies        2
97              kelp        2
652             vase        2
659           sponge        2
330            bison        2
148             logs        2
162             fish        2
216          monkeys        2
109      overbearing        3
619       nonchalant        3
283            witty        3
122            smile        3
300           grumpy        3
199    juxtaposition        3
190         dazzling        3
189          melodic        3
312             tone        3
178          cynical        3
404       idealistic        3
170         sheepish        3
165            homey        3
555        talkative        3
154           behave        3
153           gritty        3
577    uncoordinated        3
143        grandiose        3
433           heroic        3
134      indifferent        3
594         annoying        3
328           dreary        3
623       disorderly        3
213           sloppy        3
62         desperate        3
268          foolish        3
30           ashamed        3
677       cartoonish        3
63         impactful        3
643      frustrating        3
46            kinder        3
347       refreshing        3
460        innocuous        3
644        realistic        3
371       dreadfully        3
626         fearless        3
50        empathetic        3
358        ferocious        3
445           poetic        3
66            polite        3
248      fascinating        3
656        degrading        3
694        unnatural        3
438      trustworthy        3
36         attentive        3
56           routine        4
574               we        4
233              ran        4
99              side        4
456          trained        4
495           single        4
534          innings        4
528          offense        4
524             open        4
17         efficient        4
307             team        4
512            catch        4
693           answer        4
502            spent        4
701              she        4
42          position        4
405            teams        4
159             beat        4
98              1660        4
96               top        4
77             thank        4
581              one        4
247              job        4
82           success        4
610             lost        4
79         confident        4
130           flying        4
468          minimal        5
681              joy        5
26           cherish        5
240        foresight        5
310            skill        5
535      consequence        5
496       conformity        5
242         obscured        5
640    individuality        5
641         suspense        5
634      intolerance        5
14            admire        5
87       commonality        5
632        integrity        5
92       camaraderie        5
379        empirical        5
439           legacy        5
600       discipline        5
597            spite        5
599   sustainability        5
106      improvement        5
237       perception        5
67             guilt        5
234           apathy        5
160         weakness        5
287         hardship        5
570        deference        5
554          conceal        5
394         solitude        5
43     embarrassment        5
470       inadequacy        5
