            commando  1
0        leaderships  0
305           darton  0
308        squiggles  0
314          implore  0
316            yello  0
322     orienteering  0
330  self-importance  0
341     haberdashery  0
342          ukelele  0
344         songbird  0
349          endnote  0
356       talleyrand  0
359           jester  0
368         implored  0
372       crossbreed  0
386          pro-war  0
388         pallette  0
394       fairytales  0
395           kungfu  0
396     troublemaker  0
399           kludge  0
401      candlestick  0
402    strikebreaker  0
414         folktale  0
416             tose  0
419             halo  0
420           icebox  0
422          preying  0
292              sup  0
424       parenthood  0
290              ijk  0
272    looking-glass  0
139       sans-serif  0
146            kente  0
151       matchstick  0
168          bunraku  0
171            narod  0
172           jiggly  0
174           houser  0
176          ribcage  0
178        menagerie  0
192        cockatiel  0
202          cavemen  0
203            leggy  0
205           cymbal  0
213         cry-baby  0
218            plait  0
219           goblin  0
224       embarassed  0
226       fatherless  0
237  mischievousness  0
245           advert  0
256     interjection  0
260          offroad  0
261     mercantilism  0
263          mooring  0
266           crusoe  0
269       sandcastle  0
270              2-d  0
275          teatime  0
136          centaur  0
427              pew  0
436        fireflies  0
551        motorhome  0
552       cendrillon  0
557          vestals  0
558     make-believe  0
571        self-love  0
577           doggie  0
581         sunshade  0
582         nihilist  0
585            hoard  0
607         blowhole  0
610            soars  0
619           mangos  0
624           scythe  0
628    ventriloquist  0
635           bougie  0
641            middy  0
644            trope  0
646        horseless  0
660           dagger  0
661       marionette  0
662         numerals  0
664           futbol  0
672              bpu  0
683     collectivism  0
685  objectification  0
686           hakama  0
701        drumstick  0
550     echolocation  0
430              mlk  0
548      afrocentric  0
531           rosary  0
439            zelda  0
441       chromosome  0
442       masquerade  0
443         headlamp  0
450    crossdressing  0
452         clarinet  0
454          thimble  0
456            splat  0
458          ballons  0
472            yo-yo  0
478             giza  0
480          katydid  0
486         thistles  0
487        maharajah  0
489             lisp  0
490            suess  0
492            karma  0
493            frill  0
497        dollhouse  0
506            spank  0
509      indpendence  0
512             kola  0
517           squall  0
519            sonic  0
520         cataract  0
522         sawtooth  0
528       scrollwork  0
537         basepath  0
134         bracelet  0
706            stags  0
77       infographic  0
22             clack  0
21           ostrach  0
63           juggler  0
60           keeling  0
48              igwe  0
36         headstand  0
19          dulcimer  0
37            bucker  0
59           victual  0
58       mutualistic  0
117          satanic  0
57         blackfoot  0
115        timepiece  0
53      non-sequitur  0
52          gumdrops  0
88              moji  0
112         hedgehog  0
50           tankard  0
15         storytime  0
44             gnaws  0
46            bolded  0
106         hardtack  0
99              gaia  0
7         allegretto  0
82            violon  0
1              iliad  0
101             roda  0
5             canner  0
79         manliness  0
120           cherub  0
71           dreidel  0
24             quoit  0
17             shule  0
33       footsoldier  0
97              1660  1
288           diving  1
482           eagles  1
542     kindergarten  1
540     veterinarian  1
43              pike  1
281           livery  1
496            hardy  1
278      grandfather  1
244            welsh  1
277         squadron  1
524         nickname  1
536          seaside  1
248        kettering  1
533          innings  1
500              mom  1
504          lancers  1
100            movie  1
265            marsh  1
513         aqueduct  1
529            usher  1
510            actor  1
253       conquering  1
32              pole  1
508       apprentice  1
31     quartermaster  1
34             blues  1
532            annie  1
526            elder  1
273          goddess  1
250        collision  1
39                ra  1
505           violet  1
89              beek  1
477             beta  1
338         mechanic  1
412          library  1
407            ferry  1
405            orson  1
68              wept  1
400      illustrated  1
