            commando  0.1
706            stags    0
484         dwelling    0
486         thistles    0
219           goblin    0
215          monkeys    0
214            armor    0
491           boiled    0
222       drumsticks    0
210            dolls    0
205           cymbal    0
500              mom    0
502        creatures    0
503          ruffles    0
504          lancers    0
505           violet    0
496            hardy    0
223       horizontal    0
482           eagles    0
225        accordion    0
464           barren    0
465           dragon    0
466             dome    0
242      blueberries    0
470         cookbook    0
238       headlights    0
474        squirrels    0
235       tablecloth    0
234             fuji    0
477             beta    0
478             giza    0
479         goldfish    0
229         kimberly    0
227        scrubbing    0
481          bullock    0
506            spank    0
462              rot    0
507             bugs    0
196        parachute    0
535            sacks    0
536          seaside    0
538             wrap    0
540     veterinarian    0
542     kindergarten    0
543               da    0
532            annie    0
163           blonde    0
161             fish    0
544            lover    0
546            tulip    0
156          waffles    0
155              bag    0
154        mushrooms    0
162             blue    0
531           rosary    0
525        clipboard    0
524         nickname    0
508       apprentice    0
194             limp    0
193         landlord    0
511            catch    0
512             kola    0
513         aqueduct    0
514             fade    0
186          spatula    0
185            lodge    0
184             idle    0
518           fender    0
520         cataract    0
363           shorts    0
179             naps    0
521            pedal    0
197             gear    0
248        kettering    0
461       condiments    0
457          painted    0
391        snowstorm    0
331         sausages    0
329            bison    0
328      grandmother    0
397          tearing    0
401      candlestick    0
390       underwater    0
320            holly    0
315           lenses    0
407            ferry    0
312        streamers    0
410            jacks    0
310            steal    0
411            pails    0
318           spines    0
334         shingles    0
389         shilling    0
337          petting    0
364          bunnies    0
358            baggy    0
366          bandits    0
355            decor    0
354              cab    0
705         grilling    0
351            cubes    0
369            fudge    0
373          titanic    0
375         grooming    0
381            brawl    0
383            cough    0
385            sleek    0
340            shave    0
338         mechanic    0
413             leek    0
415            hurry    0
417         stockton    0
302          baggage    0
276           sprite    0
440              lit    0
273          goddess    0
446           crouch    0
447            laver    0
265            marsh    0
448           basket    0
263          mooring    0
262       waterfalls    0
451         unfurled    0
259         porridge    0
258             soot    0
452         clarinet    0
453             load    0
255          flutter    0
436        fireflies    0
150           drying    0
435             cord    0
281           livery    0
301          teacups    0
300             worm    0
298            dizzy    0
421         mistress    0
422          preying    0
423          tipping    0
425            sinks    0
292              sup    0
426             okra    0
428             suck    0
288           diving    0
429              lad    0
284         homemade    0
433          costume    0
434            naked    0
280            cakes    0
148           sickle    0
180         swimsuit    0
361           nymphs    0
612           chrome    0
64             rolex    0
96              kelp    0
667            isaac    0
645            coats    0
656        chevrolet    0
60           keeling    0
22             clack    0
43              pike    0
93           crooked    0
684            thumb    0
19          dulcimer    0
102           sparta    0
663          fainted    0
602              keg    0
104          couches    0
600      schoolhouse    0
72              eggs    0
591          drawers    0
109         hercules    0
101             roda    0
92           turtles    0
613            stalk    0
90              hung    0
147             logs    0
34             blues    0
673         devoured    0
32              pole    0
630          takeoff    0
31     quartermaster    0
675           potted    0
624           scythe    0
68              wept    0
38         cigarette    0
27            parlor    0
621          puddles    0
39                ra    0
83              wavy    0
620          platoon    0
26         playhouse    0
85              3.50    0
619           mangos    0
678           karate    0
615            melon    0
89              beek    0
110            bogey    0
589             raft    0
687       binoculars    0
585            hoard    0
131            shout    0
568            weave    0
566           rattle    0
54             nails    0
134         bracelet    0
135          stacked    0
562             tile    0
561         trinkets    0
138        entangled    0
560             lash    0
586            scots    0
651             vase    0
658           sponge    0
6           shouting    0
5             canner    0
143         beheaded    0
4               clap    0
145           queens    0
702             chin    0
51             queue    0
703          unclean    0
704           savory    0
701        drumstick    0
56               kit    0
650             lawn    0
570            blush    0
114           grapes    0
583        housework    0
688         midnight    0
116             tins    0
647           ragged    0
118             foam    0
14            shells    0
689             saws    0
660           dagger    0
121            smile    0
691         desserts    0
577           doggie    0
125        tentacles    0
648       playground    0
124        scratches    0
128          incline    0
575            mecca    0
572          padding    0
427              pew    1
661       marionette    1
662         numerals    1
420           icebox    1
664           futbol    1
419             halo    1
666     encompassing    1
424       parenthood    1
670         overview    1
